CATEGORY_NAME,SUB_CATEGORY_NAME,ATTRIBUTE_NAME,SUB_ATTRIBUTE_NAME,LOWEST_TAXONOMY,HEALTH_INTEREST,REC_COUNT,SHARE_WITHIN_LOWEST_TAXONOMY,SHARE_WITHIN_HEALTH_INTEREST
Herbal/Botanicals,Herbs,Berberis (Berberine),,Berberis (Berberine),Abnormal glucose,826,0.3077496274,0.4123814279
Conditions & formulations,Cardiometabolic health,Blood sugar support,,Blood sugar support,Abnormal glucose,218,0.4325396825,0.1088367449
Vitamins & minerals,Multivitamins & minerals,Multivitamins,,Multivitamins,Abnormal glucose,62,0.05688073394,0.03095356965
Nutritional supplements,Other metabolites & bioactive compounds,Inositol,Myo-inositol + d-chiro,Myo-inositol + d-chiro,Abnormal glucose,55,0.07227332457,0.02745881178
Nutritional supplements,Other metabolites & bioactive compounds,Alpha lipoic acid (ALA),,Alpha lipoic acid (ALA),Abnormal glucose,49,0.1209876543,0.02446330504
Nutritional supplements,Other metabolites & bioactive compounds,Inositol,Myo-inositol,Myo-inositol,Abnormal glucose,47,0.08867924528,0.0234648028
Vitamins & minerals,Minerals,Magnesium,Magnesium glycinate,Magnesium glycinate,Abnormal glucose,46,0.01164556962,0.02296555167
Vitamins & minerals,Minerals,Chromium,Chromium picolinate,Chromium picolinate,Abnormal glucose,43,0.3359375,0.0214677983
Conditions & formulations,Cardiometabolic health,Weight management support,GLP-1 nutrient support,GLP-1 nutrient support,Abnormal glucose,41,0.1990291262,0.02046929606
Conditions & formulations,Endocrine & hormonal health,Pancreatic support,,Pancreatic support,Abnormal glucose,37,0.402173913,0.01847229156
Nutritional supplements,Prebiotics & fibers,Other prebiotics & fibers,,Other prebiotics & fibers,Abnormal glucose,30,0.04792332268,0.0149775337
Nutritional supplements,Probiotics,Akkermansia,Akkermansia blends,Akkermansia blends,Abnormal glucose,26,0.325,0.01298052921
Vitamins & minerals,Complexes & combos,Vitamin D & K,,Vitamin D & K,Abnormal glucose,26,0.004526462396,0.01298052921
Nutritional supplements,Probiotics,Akkermansia,Akkermansia (single-strain),Akkermansia (single-strain),Abnormal glucose,20,0.1129943503,0.009985022466
Herbal/Botanicals,Herbs,Cinnamon,,Cinnamon,Abnormal glucose,20,0.4166666667,0.009985022466
Nutritional supplements,Omegas & other fatty acids,Fish oil,Balanced EPA/DHA,Balanced EPA/DHA,Abnormal glucose,18,0.006823351024,0.00898652022
Vitamins & minerals,Complexes & combos,B-complexes,,B-complexes,Abnormal glucose,16,0.005451448041,0.007988017973
Vitamins & minerals,Minerals,Chromium,Chromium polynicotinate,Chromium polynicotinate,Abnormal glucose,16,0.5161290323,0.007988017973
Nutritional supplements,Prebiotics & fibers,Psyllium husk,,Psyllium husk,Abnormal glucose,16,0.05673758865,0.007988017973
Nutritional supplements,Probiotics,Lacto-bifidobacteria,Lacto-bifidobacteria blends,Lacto-bifidobacteria blends,Abnormal glucose,15,0.01036627505,0.00748876685
Nutritional supplements,Probiotics,Other probiotic species,,Other probiotic species,Abnormal glucose,15,0.1923076923,0.00748876685
Vitamins & minerals,Minerals,Magnesium,Other magnesium,Other magnesium,Abnormal glucose,14,0.01005747126,0.006989515726
Herbal/Botanicals,Herbs,Gymnema,,Gymnema,Abnormal glucose,13,0.4193548387,0.006490264603
Herbal/Botanicals,Phytonutrients,Greens & superfoods,Apple cider vinegar,Apple cider vinegar,Abnormal glucose,12,0.3076923077,0.00599101348
Herbal/Botanicals,Phytonutrients,Flavonoids,Anthocyanins,Anthocyanins,Abnormal glucose,11,0.05392156863,0.005491762356
Vitamins & minerals,Vitamins,Vitamin B1 (Thiamine),Benfotiamine,Benfotiamine,Abnormal glucose,9,0.1022727273,0.00449326011
Herbal/Botanicals,Phytonutrients,Flavonoids,Citrus bioflavonoids,Citrus bioflavonoids,Abnormal glucose,9,0.02142857143,0.00449326011
Nutritional supplements,Prebiotics & fibers,Guar gum,,Guar gum,Abnormal glucose,9,0.0251396648,0.00449326011
Herbal/Botanicals,Phytonutrients,Phytosterols,,Phytosterols,Abnormal glucose,9,0.02950819672,0.00449326011
Conditions & formulations,Cardiometabolic health,Weight management support,Healthy weight support,Healthy weight support,Abnormal glucose,8,0.04545454545,0.003994008987
Nutritional supplements,Amino acids,Amino compounds,N-acetyl-cysteine (NAC),N-acetyl-cysteine (NAC),Abnormal glucose,8,0.008376963351,0.003994008987
Conditions & formulations,Neurocognitive health & sleep,Stress support,,Stress support,Abnormal glucose,8,0.007736943907,0.003994008987
Nutritional supplements,Other metabolites & bioactive compounds,CoQ10,,CoQ10,Abnormal glucose,7,0.009333333333,0.003494757863
Conditions & formulations,"Antiox, detox, & cellular health",Liver/hepatic support,,Liver/hepatic support,Abnormal glucose,7,0.01328273245,0.003494757863
Nutritional supplements,Enzymes,Digestive enzymes,Other digestive enzymes,Other digestive enzymes,Abnormal glucose,7,0.003284842797,0.003494757863
Nutritional supplements,Amino acids,Amino compounds,Carnitine,Carnitine,Abnormal glucose,6,0.03846153846,0.00299550674
Nutritional supplements,Hormones & glandulars,Glandulars,Other glandulars,Other glandulars,Abnormal glucose,6,0.01785714286,0.00299550674
Nutritional supplements,Probiotics,Bacillus (Spore-based),Bacillus blends,Bacillus blends,Abnormal glucose,5,0.009208103131,0.002496255617
Nutritional supplements,Omegas & other fatty acids,Fish oil,EPA-dominant,EPA-dominant,Abnormal glucose,5,0.003825554705,0.002496255617
Homeopathy,Homeopathic remedies,GI support (Homeopathic),,GI support (Homeopathic),Abnormal glucose,5,0.07462686567,0.002496255617
