CATEGORY_NAME,SUB_CATEGORY_NAME,ATTRIBUTE_NAME,SUB_ATTRIBUTE_NAME,LOWEST_TAXONOMY,HEALTH_INTEREST,HEALTH_AREA,REC_COUNT,SHARE_WITHIN_LOWEST_TAXONOMY,SHARE_WITHIN_HEALTH_INTEREST
Herbal/Botanicals,Herbs,Berberis (Berberine),,Berberis (Berberine),Abnormal glucose,Blood Sugar Support,826,0.306379822,0.4119700748
Conditions & formulations,Cardiometabolic health,Blood sugar support,,Blood sugar support,Abnormal glucose,Blood Sugar Support,218,0.4316831683,0.1087281796
Vitamins & minerals,Multivitamins & minerals,Multivitamins,,Multivitamins,Abnormal glucose,Blood Sugar Support,62,0.05651777575,0.03092269327
Nutritional supplements,Other metabolites & bioactive compounds,Inositol,Myo-inositol + d-chiro,Myo-inositol + d-chiro,Abnormal glucose,Blood Sugar Support,55,0.07180156658,0.02743142145
Nutritional supplements,Other metabolites & bioactive compounds,Alpha lipoic acid (ALA),,Alpha lipoic acid (ALA),Abnormal glucose,Blood Sugar Support,49,0.1192214112,0.02443890274
Nutritional supplements,Other metabolites & bioactive compounds,Inositol,Myo-inositol,Myo-inositol,Abnormal glucose,Blood Sugar Support,47,0.08752327747,0.02344139651
Vitamins & minerals,Minerals,Magnesium,Magnesium glycinate,Magnesium glycinate,Abnormal glucose,Blood Sugar Support,46,0.01156650742,0.02294264339
Vitamins & minerals,Minerals,Chromium,Chromium picolinate,Chromium picolinate,Abnormal glucose,Blood Sugar Support,43,0.3359375,0.02144638404
Conditions & formulations,Cardiometabolic health,Weight management support,GLP-1 nutrient support,GLP-1 nutrient support,Abnormal glucose,Blood Sugar Support,41,0.1980676329,0.02044887781
Conditions & formulations,Endocrine & hormonal health,Pancreatic support,,Pancreatic support,Abnormal glucose,Blood Sugar Support,37,0.402173913,0.01845386534
Nutritional supplements,Prebiotics & fibers,Other prebiotics & fibers,,Other prebiotics & fibers,Abnormal glucose,Blood Sugar Support,30,0.04777070064,0.01496259352
Nutritional supplements,Probiotics,Akkermansia,Akkermansia blends,Akkermansia blends,Abnormal glucose,Blood Sugar Support,26,0.325,0.01296758105
Vitamins & minerals,Complexes & combos,Vitamin D & K,,Vitamin D & K,Abnormal glucose,Blood Sugar Support,26,0.004497491783,0.01296758105
Nutritional supplements,Probiotics,Akkermansia,Akkermansia (single-strain),Akkermansia (single-strain),Abnormal glucose,Blood Sugar Support,20,0.1123595506,0.009975062344
Herbal/Botanicals,Herbs,Cinnamon,,Cinnamon,Abnormal glucose,Blood Sugar Support,20,0.4166666667,0.009975062344
Nutritional supplements,Omegas & other fatty acids,Fish oil,Balanced EPA/DHA,Balanced EPA/DHA,Abnormal glucose,Blood Sugar Support,18,0.006782215524,0.00897755611
Vitamins & minerals,Complexes & combos,B-complexes,,B-complexes,Abnormal glucose,Blood Sugar Support,16,0.005420054201,0.007980049875
Vitamins & minerals,Minerals,Chromium,Chromium polynicotinate,Chromium polynicotinate,Abnormal glucose,Blood Sugar Support,16,0.5161290323,0.007980049875
Nutritional supplements,Prebiotics & fibers,Psyllium husk,,Psyllium husk,Abnormal glucose,Blood Sugar Support,16,0.05673758865,0.007980049875
Nutritional supplements,Probiotics,Lacto-bifidobacteria,Lacto-bifidobacteria blends,Lacto-bifidobacteria blends,Abnormal glucose,Blood Sugar Support,15,0.0103021978,0.007481296758
Nutritional supplements,Probiotics,Other probiotic species,,Other probiotic species,Abnormal glucose,Blood Sugar Support,15,0.1923076923,0.007481296758
Vitamins & minerals,Minerals,Magnesium,Other magnesium,Other magnesium,Abnormal glucose,Blood Sugar Support,14,0.009950248756,0.006982543641
Herbal/Botanicals,Phytonutrients,Greens & superfoods,Apple cider vinegar,Apple cider vinegar,Abnormal glucose,Blood Sugar Support,13,0.325,0.006483790524
Herbal/Botanicals,Herbs,Gymnema,,Gymnema,Abnormal glucose,Blood Sugar Support,13,0.4193548387,0.006483790524
Herbal/Botanicals,Phytonutrients,Flavonoids,Anthocyanins,Anthocyanins,Abnormal glucose,Blood Sugar Support,11,0.05314009662,0.005486284289
Vitamins & minerals,Vitamins,Vitamin B1 (Thiamine),Benfotiamine,Benfotiamine,Abnormal glucose,Blood Sugar Support,9,0.1022727273,0.004488778055
Herbal/Botanicals,Phytonutrients,Flavonoids,Citrus bioflavonoids,Citrus bioflavonoids,Abnormal glucose,Blood Sugar Support,9,0.02132701422,0.004488778055
Nutritional supplements,Prebiotics & fibers,Guar gum,,Guar gum,Abnormal glucose,Blood Sugar Support,9,0.02506963788,0.004488778055
Nutritional supplements,Amino acids,Amino compounds,N-acetyl-cysteine (NAC),N-acetyl-cysteine (NAC),Abnormal glucose,Blood Sugar Support,9,0.009355509356,0.004488778055
Herbal/Botanicals,Phytonutrients,Phytosterols,,Phytosterols,Abnormal glucose,Blood Sugar Support,9,0.02941176471,0.004488778055
Conditions & formulations,Cardiometabolic health,Weight management support,Healthy weight support,Healthy weight support,Abnormal glucose,Blood Sugar Support,8,0.04519774011,0.003990024938
Conditions & formulations,Neurocognitive health & sleep,Stress support,,Stress support,Abnormal glucose,Blood Sugar Support,8,0.007707129094,0.003990024938
Nutritional supplements,Other metabolites & bioactive compounds,CoQ10,,CoQ10,Abnormal glucose,Blood Sugar Support,7,0.009296148738,0.00349127182
Conditions & formulations,"Antiox, detox, & cellular health",Liver/hepatic support,,Liver/hepatic support,Abnormal glucose,Blood Sugar Support,7,0.01315789474,0.00349127182
Nutritional supplements,Enzymes,Digestive enzymes,Other digestive enzymes,Other digestive enzymes,Abnormal glucose,Blood Sugar Support,7,0.003267973856,0.00349127182
Nutritional supplements,Amino acids,Amino compounds,Carnitine,Carnitine,Abnormal glucose,Blood Sugar Support,6,0.03821656051,0.002992518703
Nutritional supplements,Hormones & glandulars,Glandulars,Other glandulars,Other glandulars,Abnormal glucose,Blood Sugar Support,6,0.01785714286,0.002992518703
Nutritional supplements,Probiotics,Bacillus (Spore-based),Bacillus blends,Bacillus blends,Abnormal glucose,Blood Sugar Support,5,0.009157509158,0.002493765586
Nutritional supplements,Omegas & other fatty acids,Fish oil,EPA-dominant,EPA-dominant,Abnormal glucose,Blood Sugar Support,5,0.003805175038,0.002493765586
Homeopathy,Homeopathic remedies,GI support (Homeopathic),,GI support (Homeopathic),Abnormal glucose,Blood Sugar Support,5,0.07462686567,0.002493765586
Nutritional supplements,Amino acids,Amino compounds,Other amino acids,Other amino acids,Abnormal glucose,Blood Sugar Support,5,0.0146627566,0.002493765586
Herbal/Botanicals,Phytonutrients,Resveratrol,,Resveratrol,Abnormal glucose,Blood Sugar Support,5,0.03787878788,0.002493765586
Vitamins & minerals,Multivitamins & minerals,Women's multivitamins,,Women's multivitamins,Abnormal glucose,Blood Sugar Support,5,0.02645502646,0.002493765586
Vitamins & minerals,Complexes & combos,ADK/E,,ADK/E,Abnormal glucose,Blood Sugar Support,4,0.01246105919,0.001995012469
Conditions & formulations,Endocrine & hormonal health,Adrenal support,,Adrenal support,Abnormal glucose,Blood Sugar Support,4,0.002739726027,0.001995012469
